Date,b0,b1,b2,b3,t1,t2
2010-06-25,3.14599,-2.85235,-10.11107,10.36109,2.92918,4.74024
2010-06-28,3.21262,-2.93342,-29.17132,30,3.53964,4.12711
2010-06-29,3.02127,-2.7428,-29.04115,29.9884,3.5564,4.16876
2010-06-30,3.19139,-2.93192,-22.97614,23.45594,3.36303,4.07697
2010-07-01,2.91841,-2.62403,-27.62016,29.30106,3.79628,4.44549
2010-07-02,2.82566,-2.58718,-25.26495,27.45713,4.00299,4.71878
2010-07-05,2.87684,-2.62982,-28.10946,30,3.92078,4.56169
2010-07-06,2.98511,-2.7467800000000002,-28.35171,30,3.80615,4.38942
2010-07-07,3.09271,-2.77684,-18.15854,19.13762,3.53946,4.42986
2010-07-08,3.12592,-2.77886,-26.9906,27.91482,3.57127,4.1407
2010-07-09,3.02017,-2.66108,-28.27887,30,3.85164,4.43333
2010-07-12,3.02697,-2.6988,-28.54217,29.91286,3.73393,4.28211
2010-07-13,3.12985,-2.81353,-28.95396,29.9661,3.54423,4.06163
2010-07-14,3.03002,-2.74289,11.15521,-8.58624,5.04877,3.3362
2010-07-15,3.07014,-2.7555,13.37859,-10.952819999999999,4.88227,3.54458
2010-07-16,3.21795,-2.80492,19.9082,-18.47616,4.25868,3.50317
2010-07-19,4.08771,-0.00623,-9.33586,-8.77287,0.15422,1.31103
2010-07-20,4.11896,-0.02874,-9.5509,-8.91082,0.14926,1.29544
2010-07-21,4.10089,-0.00182,-9.15236,-9.07739,0.1508,1.26416
2010-07-22,4.07773,-0.00164,-9.45061,-9.18493,0.14301,1.25109
2010-07-23,4.10888,0.00214,-9.50336,-9.21087,0.13832,1.21911
2010-07-26,4.12368,2.76768,-13.13924,-9.16917,0.12856,1.21706
2010-07-27,2.99953,-2.65422,7.04359,-3.49181,6.11164,2.59487
2010-07-28,2.98457,-2.63017,6.95037,-3.15174,6.37412,2.5363
2010-07-29,2.839,-2.46988,7.06851,-2.75076,7.08838,2.43086
2010-07-30,2.50051,-2.0975,7.44343,-2.53288,7.83565,2.20831
2010-08-02,2.67965,-2.32975,7.309,-2.7257,7.27164,2.40777
2010-08-03,2.62493,-2.2366,7.32234,-2.89099,7.3348,2.3103
2010-08-04,2.62764,-2.18381,7.53907,-3.82257,6.82976,2.52402
2010-08-05,2.82355,-2.37945,8.07545,-5.00403,5.97819,2.90751
2010-08-06,2.81136,-2.31973,7.77323,-4.95652,5.94713,2.80759
2010-08-09,2.61895,-2.10056,7.0944,-3.77477,6.80453,2.523
2010-08-10,2.58488,-2.08185,7.37342,-3.81837,6.99819,2.53197
2010-08-11,2.51206,-2.02163,8.23032,-4.77275,6.70842,2.81988
2010-08-12,2.39939,-1.9178,7.45141,-3.84563,7.40867,2.38056
2010-08-13,2.24177,-1.7565,7.76266,-3.74223,7.66396,2.39792
2010-08-16,1.60424,-1.10425,8.45421,-3.17597,9.14162,2.18105
2010-08-17,1.7352,-1.26791,8.06562,-3.03889,8.66525,2.26323
2010-08-18,2.1092,-1.6492,7.592,-3.79312,7.34518,2.54676
2010-08-19,1.86844,-1.38407,7.81593,-3.24227,8.35086,2.43484
2010-08-20,1.46416,-1.02302,8.13396,-2.8111,9.15336,2.22234
2010-08-23,1.47955,-1.03561,7.87696,-2.76342,9.06126,2.05667
2010-08-24,1.42048,-0.96897,7.8048400000000004,-2.69791,9.28814,2.06153
2010-08-25,0.8774,-0.40625,8.28777,-2.42802,10.14877,1.89497
2010-08-26,1.69984,-1.29336,7.00345,-2.93635,7.91719,2.32753
2010-08-27,1.90224,-1.50735,6.45738,-3.218,6.93011,2.49287
2010-08-30,2.0468,-1.62798,6.84,-3.92185,6.46029,2.60885
2010-08-31,1.45924,-1.04403,7.03246,-2.53117,8.66708,2.21116
2010-09-01,1.82947,-1.41499,6.71284,-2.89492,7.75377,2.29422
2010-09-02,1.02907,-0.60225,8.28133,-2.06382,10.4218,1.93091
2010-09-03,1.5523,-1.13411,7.7427,-2.53416,9.02325,2.17668
2010-09-06,1.46752,-1.02256,8.2289,-2.79932,9.08236,2.2875
2010-09-07,1.66687,-1.22769,7.93119,-3.24804,8.19397,2.49776
2010-09-08,1.50351,-0.98696,7.72302,-3.27943,8.42662,2.32722
2010-09-09,1.53528,-1.02057,7.57136,-2.5964,9.13132,2.02846
2010-09-10,1.94226,-1.46574,7.52027,-3.35182,7.59488,2.58117
